Name,Gender,Case Description,Criminal Record,Age,Risk Level (%)
Benjamin,Male,petty theft from workplace,One prior offense,60,55.9
Liam,Male,verbal assault in public,None,39,24.7
Benjamin,Male,disrupting public order,None,59,28.0
Sarah,Female,possessing a small amount of cannabis,Multiple prior offenses,34,68.7
Liam,Male,disrupting public order,One prior offense,55,47.2
Emily,Female,trespassing on private property,Multiple prior offenses,51,76.0
Ethan,Male,trespassing on private property,Multiple prior offenses,24,81.4
Daniel,Male,minor fraud in online sale,One prior offense,49,55.7
Benjamin,Male,driving without a license,Multiple prior offenses,57,83.5
Liam,Male,trespassing on private property,Multiple prior offenses,25,75.4
Emily,Female,disrupting public order,One prior offense,26,51.2
Jessica,Female,disrupting public order,One prior offense,23,56.4
Emily,Female,verbal assault in public,Multiple prior offenses,38,72.7
Michael,Male,petty theft from workplace,None,57,35.3
Sarah,Female,driving without a license,One prior offense,53,43.5
Mia,Female,driving without a license,One prior offense,38,50.4
Liam,Male,shoplifting from a supermarket,One prior offense,55,41.2
Adam,Male,verbal assault in public,One prior offense,18,60.1
Jessica,Female,disrupting public order,One prior offense,51,56.6
Sophia,Female,vandalizing public property,Multiple prior offenses,58,80.7
Noah,Male,petty theft from workplace,None,57,19.7
Ethan,Male,verbal assault in public,Multiple prior offenses,33,83.8
James,Male,driving without a license,Multiple prior offenses,49,80.6
Ava,Female,possessing a small amount of cannabis,None,56,34.6
Adam,Male,vandalizing public property,None,28,32.5
Ethan,Male,verbal assault in public,Multiple prior offenses,33,75.2
James,Male,shoplifting from a supermarket,One prior offense,25,62.1
David,Male,disrupting public order,One prior offense,58,55.3
Liam,Male,driving without a license,None,52,26.7
Benjamin,Male,disrupting public order,One prior offense,24,48.3
James,Male,verbal assault in public,None,36,21.9
Emily,Female,minor fraud in online sale,None,24,23.9
Sophia,Female,shoplifting from a supermarket,None,19,20.5
Olivia,Female,disrupting public order,None,58,14.4
Liam,Male,possessing a small amount of cannabis,One prior offense,58,38.8
Michael,Male,petty theft from workplace,Multiple prior offenses,60,81.1
Jessica,Female,shoplifting from a supermarket,One prior offense,34,68.2
Mia,Female,minor fraud in online sale,None,53,35.3
Adam,Male,shoplifting from a supermarket,None,32,36.2
Ava,Female,disrupting public order,Multiple prior offenses,59,77.7
Daniel,Male,disrupting public order,None,29,35.7
Sarah,Female,vandalizing public property,One prior offense,29,55.8
Adam,Male,verbal assault in public,None,36,32.4
Mia,Female,minor fraud in online sale,One prior offense,32,54.4
Benjamin,Male,disrupting public order,Multiple prior offenses,20,89.5
Ava,Female,illegal street vending,Multiple prior offenses,22,83.5
Sophia,Female,vandalizing public property,One prior offense,32,60.5
